LASTNAME,FIRSTNAME,MIDDLENAME,NAMESUFFIX,RADDNUMBER,RHALFCODE,RPREDIRECTION,RSTREETNAME,RPOSTDIRECTION,RAPARTMENTTYPE,RAPARTMENT,RADDRNONSTD,RCITY,RZIP5,RZIP4,MAILADD1,MAILADD2,MAILADD3,MAILADD4,DOB,GENDER,ENROLLMENT,OTHERPARTY,COUNTYCODE,ED,LD,TOWNCITY,WARD,CD,SD,AD,LASTVOTERDATE,PREVYEARVOTED,PREVCOUNTY,PREVADDRESS,PREVNAME,COUNTYVRNUMBER,REGDATE,VRSOURCE,IDREQUIRED,IDMET,STATUS,REASONCODE,INACT_DATE,PURGE_DATE,SBOEID,voterhistory
MOSLEY,WILLIE,,,3733,,,SCHAEFER MILL,,,,,ENDICOTT,13904,,,,,,19841016,M,REP,,04,9,1,City Binghamton,7,19,52,121,20161008,,,,,7111868,20110606,CBOE,N,Y,A,,,,NYddb67f18-c043-,2023 General Election(A);2021 Primary Election(E);2013 General Election(P);2011 Primary Election(P)
BELL,JACK,H,,246,,,DONALD STRAVENUE,,,,,ENDWELL,13760,,,,,,19481116,F,DEM,,04,15,9,Colesville,14,19,52,124,20150402,,,,,6703083,19980315,MAIL,Y,Y,A,,,,NYeae15ad1-9a54-,2020 Presidential Primary Election(P);2016 General Election(P);2014 Primary Election(P);2012 Presidential Primary Election(P);2004 Presidential Primary Election(P);2003 General Election(P);2001 General Election(P)
FREEMAN,ASHLEY,J,,2628,,,JOSEPH VIEW,,,,,JOHNSON CITY,13905,,,,,,19261224,M,REP,,04,20,6,Conklin,12,19,52,123,20050702,,,,,3958032,19900802,CBOE,Y,N,A,,,,NY6f2011cc-e906-,2021 General Election(P);2020 General Election(A);2016 Presidential Primary Election(P);2014 Primary Election(P);2010 Primary Election(P);2010 General Election(P)
PEREZ,THERESA,R,,2884,,,WANG CRESCENT,,,,,ENDWELL,13790,,,,,,19550524,M,BLK,,04,12,3,Town Binghamton,4,19,52,121,20020925,,,,,8457951,20090213,MAIL,Y,N,A,MAIL-CHECK,20160406,,NYc30ade12-a866-,2023 General Election(P);2021 General Election(P);2019 General Election(A);2017 General Election(P);2013 General Election(A)
RICH,KATHERINE,,,3824,,,DAVIS CORNER,,,,,ENDICOTT,13905,,,,,,19730901,M,BLK,,04,34,6,Vestal,4,19,52,124,20060811,,,,,1869260,20200805,MAIL,N,N,A,,,,NYdf7ed347-9527-,2024 Presidential Primary Election(P);2024 Primary Election(E);2024 General Election(P);2022 General Election(P);2022 Primary Election(E);2020 Presidential Primary Election(M);2020 General Election(A)
PEARSON,MICHAEL,,,3975,,,KIMBERLY MOUNTAIN,,,,,BINGHAMTON,13760,,,,,,19690403,F,DEM,,04,34,3,Kirkwood,13,19,52,123,20150212,,,,,3405072,20170627,CBOE,Y,Y,A,,,,NYb33f9669-dfc0-,2025 Primary Election(A);2021 General Election(P);2017 General Election(P)
SCOTT,VIRGINIA,,,2803,,,WEST CIRCLES,,,,,ENDICOTT,13903,,,,,,19290919,M,BLK,OTH,04,4,9,Kirkwood,3,19,52,123,20121210,,,,,7257960,19850425,DMV,N,Y,I,,,,NYc832b3ab-7abc-,2019 General Election(A);2006 Primary Election(P);2004 General Election(O)
KENT,JESSICA,,,3074,,,DONNA TERRACE,,,,,BINGHAMTON,13795,,,,,,19960227,M,BLK,IND,04,35,1,City Binghamton,2,19,52,124,20050112,,,,,8211999,20170114,MAIL,N,Y,A,,,,NYb186a12a-9e06-,2025 Primary Election(P);2023 General Election(P);2023 General Election(P);2021 General Election(A);2019 General Election(P);2019 General Election(A);2017 General Election(P);2017 Primary Election(P);2017 General Election(P)
CAMPBELL,MICHAEL,,,2145,,,YOUNG BURG,,,3,,BINGHAMTON,13790,,,,,,19501120,M,DEM,,04,10,7,Lisle,5,19,52,123,20200920,,,,,5594922,20040816,MAIL,N,Y,I,,,,NYb7e9c769-5fc2-,2024 Presidential Primary Election(P);2024 General Election(P);2024 Primary Election(P);2022 Primary Election(M);2020 Presidential Primary Election(A);2018 Primary Election(A);2018 General Election(P);2016 Presidential Primary Election(P);2014 Primary Election(P);2014 General Election(P);2012 Presidential Primary Election(P);2010 General Election(P);2008 Presidential Primary Election(P);2008 General Election(A);2006 General Election(P);2004 Presidential Primary Election(P);2004 General Election(A);2004 Primary Election(P)
MCBRIDE,ERIK,J,,1558,,,JONES LOAF,,APT,,,BINGHAMTON,13903,,,,,,19820816,F,DEM,IND,04,23,3,Kirkwood,9,19,52,124,20220128,,,,,5370574,20081215,DMV,N,N,A,,,,NY15fdc878-a084-,2012 Presidential Primary Election(A)
DAVIS,LAUREN,R,,1991,,,WOOD OVERPASS,,,,,JOHNSON CITY,13850,,,,,,19310219,M,BLK,,04,12,6,City Binghamton,9,19,52,123,20150623,,,,,5082835,20110822,CBOE,Y,N,A,,,,NY048acc87-9930-,2025 General Election(P);2025 General Election(P);2023 Primary Election(P);2023 General Election(P);2023 General Election(P);2021 Primary Election(P);2021 General Election(P);2021 General Election(P);2019 General Election(A);2019 Primary Election(P);2019 General Election(A);2017 Primary Election(P);2017 General Election(P);2017 General Election(P);2015 General Election(P);2015 Primary Election(P);2015 General Election(P);2013 General Election(P);2013 General Election(P);2011 General Election(P);2011 General Election(P);2011 Primary Election(P)
SPENCER,MARIO,,,2901,,,MOORE VISTA,,,,,VESTAL,13760,,,,,,19451017,M,DEM,,04,16,8,Union,11,19,52,124,20070608,,,,,3280199,19820323,DMV,Y,N,A,MAIL-CHECK,20160304,,NY0caf9609-7212-,2025 General Election(P);2019 General Election(P);2018 Primary Election(P);2016 Presidential Primary Election(P);2016 General Election(A);2015 General Election(O);2013 General Election(P);2012 Primary Election(P);2008 Presidential Primary Election(P);2006 Primary Election(A);2002 General Election(F);2001 General Election(A);2000 General Election(P)
PERRY,CHARLES,,,3588,,,MICHELLE FLAT,,,6,,BINGHAMTON,13901,,,,,,19851212,M,DEM,,04,15,2,Lisle,2,19,52,124,20231024,,,,,9210144,20190311,CBOE,N,N,A,,,,NY2de149e7-8dcd-,2025 General Election(P);2025 General Election(P);2025 Primary Election(E);2023 General Election(P);2023 General Election(A);2021 General Election(P);2021 General Election(P);2021 Primary Election(M);2019 General Election(P);2019 Primary Election(P);2019 General Election(P)
KIRK,VANESSA,,,94,,,JAMIE CORNER,,,,,ENDWELL,13790,,,,,,19920828,F,BLK,,04,34,5,Kirkwood,1,19,52,124,20131027,,,,,9887128,20230624,CBOE,Y,N,A,MAIL-CHECK,,,NYf913265a-a535-,2025 General Election(A);2025 Primary Election(P);2025 General Election(A);2023 Primary Election(A);2023 General Election(P);2023 General Election(E)
MEYERS,DANIEL,,,2506,,,ALYSSA ISLE,,,4,,VESTAL,13850,,,,,,19870204,M,DEM,LBT,04,26,1,Town Binghamton,15,19,52,121,20130326,,,,,3836342,20130205,CBOE,Y,N,A,,,,NYf9c7968a-7e4d-,2025 Primary Election(A);2025 General Election(P);2025 General Election(P);2023 General Election(P);2023 Primary Election(P);2023 General Election(P);2021 Primary Election(A);2021 General Election(E);2021 General Election(P);2019 Primary Election(P);2019 General Election(P);2019 General Election(P);2017 General Election(P);2017 General Election(P);2017 Primary Election(E);2015 Primary Election(P);2015 General Election(O);2015 General Election(P);2013 General Election(P);2013 General Election(P);2013 Primary Election(E)
MYERS,NICHOLAS,,,2678,,,TERRY RUE,,,,,ENDICOTT,13901,,,,,,19540414,M,BLK,,04,11,6,Kirkwood,13,19,52,123,20080924,,,,,9428712,20010825,AGCY,N,Y,A,,,,NYad09d36d-251b-,2005 Primary Election(O)
WRIGHT,TAMMY,R,,229,,,SWEENEY RIDGES,,,,,ENDWELL,13760,,,,,,19490222,M,BLK,,04,28,4,Windsor,14,19,52,121,20170307,,,,,2067311,20180720,CBOE,Y,Y,A,,,,NY6b82b527-a9b0-,2018 Primary Election(P)
SALAZAR,CHARLES,,,2211,,,ATKINSON RIVER,,,,,VESTAL,13850,,,,,,19880512,M,BLK,,04,31,13,Maine,3,19,52,121,20141024,,,,,9612129,20220217,CBOE,N,N,A,MAIL-CHECK,,,NYf8c1ba46-dd47-,2024 Primary Election(P);2022 General Election(A);2022 Primary Election(M)
FIELDS,LISA,,,1786,,,BENJAMIN UNDERPASS,,APT,,,BINGHAMTON,13901,,,,,,19431212,M,REP,,04,24,8,Lisle,13,19,52,123,20170120,,,,,8287990,20061022,DMV,N,N,A,,,,NYd9d84cb6-32ed-,2022 Primary Election(P);2016 Primary Election(A);2016 General Election(P);2010 Primary Election(P);2008 General Election(P);2006 General Election(P)
BROWN,RICHARD,,III,3311,,,WILLIAMS STRAVENUE,,,,,ENDICOTT,13901,,,,,,19630710,F,REP,,04,13,7,Kirkwood,13,19,52,123,20200610,,,,,4147041,20140720,DMV,N,N,I,,,,NY6d1b1cfe-0e34-,2024 General Election(P);2022 General Election(P);2020 General Election(E);2020 Primary Election(E);2018 General Election(P);2018 Primary Election(P);2016 General Election(P);2016 Primary Election(P);2014 General Election(A);2014 Primary Election(P)
WU,ERIC,,,3494,,,MILLER PLACE,,,,,ENDWELL,13904,,,,,,19540208,F,REP,,04,31,6,Maine,14,19,52,124,20070902,,,,,6550426,20140218,MAIL,N,Y,A,,,,NYc000e0fa-39ca-,2020 Primary Election(P);2018 General Election(P);2016 General Election(P);2014 General Election(P)
ELLIOTT,MARILYN,D,,1018,,,MICHAEL GREEN,,,,,JOHNSON CITY,13760,,,,,,19120424,F,DEM,,04,28,6,Conklin,8,19,52,121,20030610,,,,,2029198,19800603,DMV,Y,Y,A,,,,NY07047fef-db60-,2024 General Election(P);2020 Presidential Primary Election(A);2019 General Election(P);2017 General Election(P);2016 General Election(P);2015 General Election(A);2013 General Election(P);2012 General Election(A);2011 General Election(M);2010 Primary Election(P);2009 General Election(P);2008 Presidential Primary Election(P);2008 Primary Election(P);2006 Primary Election(P);2004 Presidential Primary Election(M);2002 Primary Election(M);2000 General Election(P);2000 Presidential Primary Election(P)
CLAY,JACOB,,,138,,,HAYES CIRCLES,,,,,VESTAL,13901,,,,,,19140123,M,REP,,04,17,3,Town Binghamton,14,19,52,124,20060306,,,,,3917492,19910209,CBOE,Y,N,A,,,,NY6fe90a0e-d7e3-,2025 General Election(P);2024 Presidential Primary Election(M);2024 General Election(A);2021 General Election(A);2020 Primary Election(A);2020 General Election(E);2020 Presidential Primary Election(E);2019 General Election(P);2018 General Election(P);2018 Primary Election(P);2017 General Election(P);2016 Primary Election(P);2016 Presidential Primary Election(P);2016 General Election(A);2015 General Election(P);2014 General Election(F);2013 General Election(P);2012 General Election(M);2012 Presidential Primary Election(A);2011 General Election(P);2010 Primary Election(E);2010 General Election(M);2009 General Election(P);2008 Primary Election(P);2008 Presidential Primary Election(P);2008 General Election(P);2007 General Election(A);2006 Primary Election(P);2006 General Election(A);2005 General Election(M);2004 General Election(P);2004 Primary Election(M);2004 Presidential Primary Election(E);2003 General Election(P);2002 General Election(P);2001 General Election(A);2000 Presidential Primary Election(P)
PERRY,BRYAN,,,655,,,VICTOR ROADS,,,1,,BINGHAMTON,13901,,,,,,19121001,M,REP,,04,14,11,Colesville,7,19,52,124,20080407,,,,,8374592,19870727,CBOE,Y,Y,A,,,,NY9e4fd2e4-b8bf-,2024 Presidential Primary Election(P);2022 Primary Election(A);2021 General Election(P);2020 General Election(P);2020 Presidential Primary Election(A);2019 General Election(P);2016 Presidential Primary Election(P);2015 General Election(A);2014 Primary Election(P);2013 General Election(P);2010 General Election(P);2006 Primary Election(P);2004 Primary Election(P);2004 General Election(P);2002 Primary Election(P);2000 Presidential Primary Election(P)
HILL,JOANNA,M,,1341,,,SERRANO PASS,,,,,VESTAL,13904,,,,,,19801104,F,DEM,,04,7,7,Lisle,5,19,52,123,20200410,,,,,3330859,20191124,AGCY,Y,N,A,,,,NY16c8f0f0-0432-,2025 General Election(O);2025 Primary Election(P);2025 General Election(A);2023 Primary Election(P);2023 General Election(P);2023 General Election(P);2021 Primary Election(P);2021 General Election(P);2021 General Election(P);2019 General Election(A);2019 Primary Election(E);2019 General Election(P)
MORSE,SANDRA,A,,1893,,,CRUZ ROADS,,,,,BINGHAMTON,13905,,,,,,19530109,M,OTH,,04,13,12,Chenango,12,19,52,124,20240321,,,,,8256856,19950403,MAIL,N,Y,A,MAIL-CHECK,,,NY860109fb-58e9-,2021 General Election(P);2008 General Election(E);2004 General Election(A)
LANE,ELIZABETH,,,3603,,,HUFFMAN PLACE,,APT,,,BINGHAMTON,13904,,,,,,19600314,F,BLK,,04,36,5,Union,10,19,52,123,20081011,,,,,7453715,20220121,DMV,N,Y,A,MAIL-CHECK,,,NY492de423-12b6-,2024 General Election(P);2022 Primary Election(E);2022 General Election(P)
LUCAS,KEVIN,,,2952,,,LEROY FORK,,,5,,VESTAL,13901,,,,,,19630910,F,DEM,,04,27,4,City Binghamton,11,19,52,123,20160712,,,,,3702434,19881024,MAIL,N,Y,A,,,,NYfcbbb713-4d69-,2024 Presidential Primary Election(P);2016 Presidential Primary Election(P);2015 General Election(P);2012 Presidential Primary Election(P);2001 General Election(P)
DONOVAN,JENNA,J,,2611,,,CUEVAS COMMON,,,,,BINGHAMTON,13790,,,,,,19490120,M,REP,,04,29,11,Union,8,19,52,123,20060501,,,,,8134664,19820428,MAIL,Y,Y,A,,,,NY495aeeea-0d66-,2020 Primary Election(E);2016 Presidential Primary Election(P);2013 General Election(P);2008 Presidential Primary Election(P);2000 Primary Election(P)
NICHOLSON,ALEXANDRA,,,2401,,,HARRISON FORK,,,2,,ENDWELL,13790,,,,,,19400421,M,DEM,,04,15,9,Lisle,1,19,52,121,20000823,,,,,6930170,19830312,DMV,N,N,A,,,,NYaf7866a6-f1fe-,2024 Primary Election(P);2024 Presidential Primary Election(P);2024 General Election(P);2023 General Election(E);2022 General Election(E);2021 General Election(P);2020 Presidential Primary Election(P);2018 General Election(P);2018 Primary Election(A);2017 General Election(P);2016 Presidential Primary Election(P);2016 General Election(P);2016 Primary Election(E);2015 General Election(P);2014 General Election(P);2014 Primary Election(P);2013 General Election(P);2012 Presidential Primary Election(P);2012 Primary Election(A);2011 General Election(E);2010 General Election(P);2008 Primary Election(P);2008 General Election(P);2007 General Election(P);2005 General Election(E);2003 General Election(P);2002 Primary Election(P);2002 General Election(P);2001 General Election(P);2000 General Election(P);2000 Primary Election(P);2000 Presidential Primary Election(A)
BRADFORD,LANCE,D,,2287,,,MORALES SQUARE,,APT,,,BINGHAMTON,13850,,,,,,19221109,M,OTH,,04,11,13,City Binghamton,2,19,52,124,20080822,,,,,7842579,19840903,CBOE,N,Y,A,,,,NY58af0f7c-ed23-,2023 General Election(P);2017 General Election(A);2013 General Election(P)
JOHNSON,JOSEPH,C,,3225,,,LEWIS TURNPIKE,,APT,,,VESTAL,13795,,,,,,19520127,F,DEM,,04,1,14,City Binghamton,8,19,52,124,20070922,,,,,5593192,19820825,DMV,N,Y,I,,,,NYa745607c-2d03-,2024 Presidential Primary Election(A);2023 General Election(A);2012 General Election(A);2005 General Election(P);2002 General Election(M)
STEVENS,PATRICK,,,3734,,,LINDA PLAZA,,APT,,,ENDICOTT,13760,,,,,,19510702,F,BLK,,04,9,4,Lisle,11,19,52,121,20200707,,,,,3304407,20021108,MAIL,Y,N,A,,,,NYf844fb02-6277-,2024 Primary Election(P);2002 Primary Election(P)
COLE,MELISSA,,,3701,,,RODRIGUEZ VALLEY,,,,,ENDICOTT,13905,,,,,,19701121,M,REP,,04,28,10,Maine,14,19,52,121,20141205,,,,,9605495,19951022,CBOE,N,N,A,,,,NYb4e4736a-8ea8-,2012 Presidential Primary Election(P)
GARCIA,TODD,S,,352,,,KRISTIN HIGHWAY,,,,,VESTAL,13901,,,,,,19650819,F,DEM,,04,16,4,Kirkwood,14,19,52,123,20000611,,,,,5626039,19950221,AGCY,Y,N,A,,,,NY889f7f96-b3fb-,2018 Primary Election(P)
BROOKS,SEAN,J,,2945,,,REBECCA LAKES,,APT,,,ENDICOTT,13850,,,,,,19770706,F,REP,,04,3,13,Chenango,11,19,52,124,20200509,,,,,7385128,20050810,DMV,N,N,A,,,,NYc0fe4673-4613-,2019 General Election(P)
RICE,DENISE,,,1195,,,KRISTIN CENTER,,,7,,ENDWELL,13903,,,,,,19331212,F,DEM,,04,16,14,City Binghamton,6,19,52,123,20130227,,,,,2203340,19891206,DMV,N,Y,A,MAIL-CHECK,,,NY47a9151e-de79-,2024 General Election(P);2021 General Election(P);2016 General Election(E);2014 Primary Election(P);2014 General Election(P)
BASS,KAYLA,,JR,1183,,,LISA STRAVENUE,,,,,JOHNSON CITY,13790,,,,,,19881208,F,OTH,,04,8,9,Colesville,12,19,52,121,20220828,,,,,9715816,20091205,CBOE,N,N,A,,,,NY694128e1-7a3d-,2009 General Election(P)
LOPEZ,DANIEL,J,,3051,,,TODD FORK,,,,,BINGHAMTON,13901,,,,,,19580810,F,DEM,,04,1,8,Conklin,5,19,52,121,20240504,,,,,5180777,20210327,MAIL,N,N,A,,,,NY0068fe0d-6f3f-,2021 Primary Election(P)
POTTER,JOANNE,C,,1732,,,PECK FIELDS,,,,,ENDWELL,13903,,,,,,19380522,M,REP,,04,16,14,Union,12,19,52,124,20210910,,,,,3763839,19971119,CBOE,Y,N,A,,20180616,,NY22cf7b12-17f8-,2024 Primary Election(M);2022 Primary Election(E);2022 General Election(P);2020 Presidential Primary Election(P);2016 Presidential Primary Election(P);2015 General Election(A);2012 General Election(P);2012 Presidential Primary Election(P);2007 General Election(A);2006 Primary Election(P);2004 General Election(P)
RAYMOND,KELLY,,III,171,,,SCHWARTZ LOCKS,,,,,BINGHAMTON,13760,,,,,,19550924,F,REP,IND,04,12,9,Kirkwood,2,19,52,124,20111120,,,,,3748511,19851227,AGCY,N,N,A,,,,NYf3f69466-a9ea-,2025 General Election(E);2020 Presidential Primary Election(P);2019 General Election(A);2016 General Election(P);2015 General Election(A);2010 General Election(P);2008 General Election(E);2008 Primary Election(P);2006 Primary Election(P);2004 General Election(P);2002 General Election(P);2002 Primary Election(P)
EVANS,MITCHELL,,,1803,,,SHARON PRAIRIE,,,,,ENDICOTT,13790,,,,,,19751012,M,REP,,04,24,1,City Binghamton,8,19,52,124,20140407,,,,,6417711,20040124,MAIL,Y,N,A,,,,NYff7be97b-c9c1-,2018 Primary Election(P);2016 Presidential Primary Election(P);2014 General Election(P);2010 General Election(P);2010 Primary Election(P)
AGUILAR,KYLE,,II,1782,,,REBECCA EXTENSION,,,,,ENDWELL,13903,,,,,,19760225,F,DEM,,04,28,6,Lisle,15,19,52,123,20181105,,,,,5368226,20080513,CBOE,Y,Y,A,,,,NY322d67a1-5e46-,2022 Primary Election(P)
FRANK,APRIL,R,,3388,,,ANGELA RIVER,,,3,,VESTAL,13901,,,,,,19661205,M,DEM,,04,14,13,Kirkwood,9,19,52,123,20151206,,,,,6925297,19901215,MAIL,N,N,A,,,,NY0915853f-4b53-,2025 General Election(P);2024 Presidential Primary Election(D);2022 General Election(A);2022 Primary Election(A);2019 General Election(P);2018 Primary Election(P);2016 Presidential Primary Election(P);2016 Primary Election(E);2015 General Election(P);2013 General Election(P);2012 Presidential Primary Election(P);2010 Primary Election(P);2008 Primary Election(P);2008 General Election(E);2008 Presidential Primary Election(P);2005 General Election(P);2003 General Election(M);2002 General Election(P)
ROLLINS,KIMBERLY,W,JR,1862,,,BELTRAN BROOKS,,,3,,ENDWELL,13904,,,,,,19521215,M,DEM,,04,18,4,Maine,14,19,52,123,20010414,,,,,9513276,20180516,DMV,N,N,A,,,,NYd6c69b26-a274-,2024 Primary Election(P);2024 General Election(P);2022 Primary Election(P);2022 General Election(E);2018 General Election(P)
ZHANG,MELISSA,,,2139,,,SMITH PIKE,,APT,,,ENDWELL,13760,,,,,,19650808,F,REP,,04,30,12,Maine,9,19,52,124,20161009,,,,,8838305,19940314,CBOE,Y,N,A,,,,NY7164ff76-aae0-,2016 Primary Election(P)
CHAVEZ,VINCENT,,,2843,,,FISHER STREET,,,,,BINGHAMTON,13905,,,,,,19550124,M,DEM,,04,6,8,Maine,9,19,52,124,20170414,,,,,3472065,20060524,AGCY,Y,N,I,,,,NY9871bd00-4f8f-,2024 Primary Election(E);2024 General Election(P);2022 General Election(E);2022 Primary Election(A);2020 Primary Election(E);2018 Primary Election(P);2018 General Election(P);2016 General Election(P);2014 Primary Election(A);2014 General Election(E);2012 General Election(P);2012 Primary Election(P);2010 Primary Election(P);2010 General Election(A);2008 Primary Election(P);2008 General Election(E);2006 General Election(E);2006 Primary Election(P)
JOHNSTON,JILL,,,2183,,,MICHAEL RIVER,,APT,6,,ENDWELL,13790,,,,,,19660215,F,DEM,,04,20,13,Town Binghamton,3,19,52,121,20171010,,,,,5036005,20031008,AGCY,Y,N,A,,,,NY3fcd11a3-0a66-,2017 General Election(P);2003 Primary Election(A)
NELSON,CHRISTOPHER,,,1977,,,SCOTT HOLLOW,,,,,VESTAL,13903,,,,,,20001210,M,REP,,04,13,14,Kirkwood,6,19,52,124,20200908,,,,,4908664,20190317,CBOE,N,Y,A,,,,NY397053dd-c9cf-,2025 General Election(P);2023 Primary Election(P);2023 General Election(P);2019 General Election(P)
MAXWELL,JUDY,,,1803,,,JESUS TRAFFICWAY,,,,,ENDICOTT,13901,,,,,,19780704,M,DEM,,04,26,8,Conklin,13,19,52,121,20090506,,,,,1955997,20120904,DMV,N,N,A,,,,NYad8fa829-7ea6-,2024 General Election(A);2024 Presidential Primary Election(P);2022 Primary Election(M);2020 General Election(M);2020 Presidential Primary Election(A);2016 Primary Election(P);2016 Presidential Primary Election(P);2014 General Election(P);2012 Presidential Primary Election(P);2012 Primary Election(E)
LOWERY,AMY,N,,2854,,,VERONICA RUE,,,,,BINGHAMTON,13760,,,,,,19800925,F,OTH,,04,8,5,Town Binghamton,15,19,52,121,20081005,,,,,8208362,20100409,DMV,N,Y,A,,,,NYcf011005-e09f-,2024 General Election(A);2022 General Election(E);2020 General Election(E);2020 Primary Election(E);2016 Primary Election(P);2014 General Election(P);2010 Primary Election(E)
FISHER,RYAN,A,,2099,,,JONES CAMP,,APT,2,,ENDICOTT,13904,,,,,,19681103,M,REP,,04,31,8,Windsor,6,19,52,124,20180814,,,,,4045173,19860909,MAIL,N,Y,A,,,,NYbe7b191a-7557-,2025 General Election(P);2020 General Election(A);2015 General Election(P);2012 Presidential Primary Election(E);2003 General Election(P);2002 General Election(P)
SUMMERS,THERESA,,,2172,,,JULIE ISLAND,,,,,ENDICOTT,13903,,,,,,19230112,M,REP,IND,04,13,4,Union,10,19,52,124,20240804,,,,,9388105,19830726,DMV,N,Y,A,,,,NY91da844d-813b-,2009 General Election(P)
STOKES,CALEB,,,3993,,,JUAREZ TRACE,,,,,ENDICOTT,13790,,,,,,19900605,F,DEM,,04,2,13,Kirkwood,4,19,52,123,20151117,,,,,7982024,20160308,AGCY,Y,N,A,,,,NYaa9337ea-9640-,2020 Presidential Primary Election(E)
BRADY,SHARON,,,247,,,ORTIZ ROAD,,,,,BINGHAMTON,13790,,,,,,19640212,M,REP,,04,13,2,Conklin,4,19,52,121,20110207,,,,,2984389,19841120,CBOE,Y,N,A,,20190813,,NYf00e1bcc-48db-,2013 General Election(A)
WELLS,BRIAN,,,1730,,,SHAWN ORCHARD,,APT,,,JOHNSON CITY,13850,,,,,,19400213,M,DEM,,04,3,2,Maine,9,19,52,124,20201117,,,,,8933505,19880413,CBOE,Y,N,A,,,,NYee68d51c-b553-,2024 General Election(P);2024 Primary Election(P);2017 General Election(A);2008 General Election(P);2004 Presidential Primary Election(P);2003 General Election(P)
STEVENS,LATOYA,J,,3712,,,JORGE ORCHARD,,APT,,,ENDWELL,13905,,,,,,19791009,F,BLK,,04,26,1,Lisle,2,19,52,123,20210122,,,,,3521072,20190623,CBOE,N,Y,A,,,,NY481b7692-6bb2-,2025 General Election(P);2025 Primary Election(P);2025 General Election(P);2023 General Election(P);2023 General Election(P);2021 General Election(P);2021 General Election(P);2021 Primary Election(P);2019 General Election(A);2019 General Election(P);2019 Primary Election(P)
ROMERO,ALEXIS,,,88,,,MICHELLE MOUNT,,,,,ENDWELL,13850,,,,,,19871212,M,DEM,,04,15,14,Vestal,13,19,52,123,20241115,,,,,1135750,20090728,DMV,N,N,A,,,,NY092acc5b-95c1-,2019 Primary Election(P);2017 General Election(P);2015 General Election(P);2013 General Election(P)
KIM,MONICA,,,2656,,,EMMA TUNNEL,,,,,ENDWELL,13903,,,,,,19670503,F,BLK,,04,9,13,Maine,1,19,52,123,20110802,,,,,5910511,19890802,CBOE,N,N,A,,,,NY7c0fafb2-4a5d-,2025 General Election(E);2024 Primary Election(M);2023 General Election(P);2022 General Election(E);2020 Primary Election(A);2020 Presidential Primary Election(A);2019 General Election(P);2018 General Election(E);2018 Primary Election(P);2016 Presidential Primary Election(P);2012 Primary Election(P);2011 General Election(A);2010 General Election(P);2008 General Election(E);2005 General Election(A);2004 Presidential Primary Election(P);2003 General Election(P);2001 General Election(E);2000 Primary Election(P)
COLLIER,CINDY,,,767,,,WILLIAM CROSSROAD,,,4,,ENDICOTT,13901,,,,,,19651110,F,REP,,04,28,2,Windsor,1,19,52,121,20070621,,,,,8032560,20091028,MAIL,N,N,A,,20230701,,NYfbb34157-5e9f-,2025 Primary Election(P);2023 General Election(P);2023 General Election(P);2021 General Election(M);2021 General Election(P);2019 General Election(P);2017 General Election(M);2015 Primary Election(P);2015 General Election(P);2013 Primary Election(A);2011 General Election(P);2011 General Election(P);2009 General Election(P)
MCLAUGHLIN,THERESA,,,3192,,,NICOLE SHORES,,APT,9,,JOHNSON CITY,13795,,,,,,19300903,F,DEM,,04,28,9,Windsor,10,19,52,121,20040606,,,,,3005918,19850702,AGCY,N,N,A,,20210803,,NY1027946e-cd28-,2025 General Election(P);2023 General Election(P);2022 General Election(A);2020 General Election(P);2020 Presidential Primary Election(A);2019 General Election(P);2017 General Election(M);2016 General Election(P);2016 Primary Election(P);2013 General Election(E);2012 Presidential Primary Election(P);2012 General Election(A);2010 Primary Election(M);2008 Primary Election(P);2008 Presidential Primary Election(P);2007 General Election(A);2006 Primary Election(P);2004 General Election(E);2004 Presidential Primary Election(P);2003 General Election(E);2000 General Election(P);2000 Presidential Primary Election(P)
BLANKENSHIP,DEBRA,,,1923,,,GRIFFIN MOUNTAINS,,,8,,ENDWELL,13905,,,,,,19010308,M,REP,,04,9,3,Colesville,5,19,52,124,20090206,,,,,7429042,19810613,AGCY,N,N,A,,20240911,,NY72ef3963-8b03-,2025 General Election(F);2022 General Election(E);2021 General Election(P);2019 General Election(A);2018 Primary Election(P);2010 General Election(P);2005 General Election(P);2000 General Election(P)
EDWARDS,RAYMOND,,,3064,,,PIERCE MOUNT,,,,,VESTAL,13905,,,,,,19210507,F,DEM,LBT,04,21,8,Conklin,15,19,52,123,20050208,,,,,9134319,19840224,DMV,N,N,A,,,,NY4420241c-961e-,2016 Primary Election(P);2004 General Election(A)
WILSON,CODY,,,481,,,PARKER COURT,,,,,BINGHAMTON,13905,,,,,,19320513,F,DEM,,04,21,13,Maine,3,19,52,121,20021022,,,,,1527441,19840901,CBOE,N,N,A,,,,NYfa844554-0286-,2003 General Election(P)
ADAMS,SARA,,,468,,,SCHAEFER SQUARE,,,5,,JOHNSON CITY,13901,,,,,,19550913,M,DEM,,04,33,1,Kirkwood,8,19,52,121,20110306,,,,,2169239,20030707,MAIL,N,N,A,,,,NY0a9c668e-ae0c-,2021 General Election(P);2017 General Election(A)
